06	12	19	30	33	39	44
03	12	19	24	32	46	51
04	10	15	16	39	47	50
02	09	13	30	47	48	50
10	19	25	28	44	47	50
05	07	21	22	36	38	42
02	04	08	12	39	51	55
16	21	27	28	36	54	55
17	22	25	30	38	59	60
09	10	11	13	46	52	60
06	20	29	30	33	38	55
01	10	14	17	36	55	56
05	07	26	28	44	52	55
03	14	26	28	35	44	51
07	09	18	28	36	54	55
02	24	25	30	39	47	60
01	15	18	33	44	46	53
06	17	19	43	47	48	54
03	19	26	32	38	51	53
15	25	28	36	41	43	44
19	23	25	36	44	47	54
08	14	29	35	48	51	53
14	16	17	40	49	53	59
01	13	14	39	45	54	56
08	09	13	36	47	54	57
05	26	27	34	42	43	55
13	21	24	36	45	46	59
15	16	30	33	46	47	59
10	17	22	39	45	49	56
09	13	14	36	38	51	59
09	26	27	33	38	44	53
03	15	19	42	54	56	59
08	16	21	30	39	47	50
07	18	22	26	31	32	53
06	12	26	27	31	39	54
01	06	16	19	47	48	54
02	03	24	26	55	56	59
15	18	21	24	36	38	43
01	08	20	22	38	53	59
03	11	12	24	36	39	46
06	09	18	26	35	43	54
03	06	08	19	38	40	41
08	09	18	24	37	55	56
07	08	12	20	45	48	51
06	07	27	39	40	41	52
14	15	27	32	44	51	59
17	20	29	34	45	48	49
02	11	25	32	48	49	53
05	18	22	31	39	45	56
16	19	29	32	34	41	55
07	09	13	32	44	46	47
09	27	29	32	48	53	56
03	10	19	44	46	47	59
04	06	15	38	39	43	59
05	16	22	31	38	55	59
08	14	21	33	36	37	43
09	16	18	30	50	51	55
08	12	15	18	43	51	54
07	24	27	30	52	55	56
03	20	24	29	41	50	52
08	22	27	28	33	44	45
04	07	18	22	34	49	51
01	12	28	30	39	45	60
17	18	21	22	42	43	56
06	22	27	29	44	51	54
01	05	12	14	38	49	54
02	16	24	29	34	41	55
02	05	06	28	43	46	47
06	23	25	31	35	38	42
11	14	23	32	35	38	53
01	04	18	36	47	51	55
06	10	29	39	41	44	45
06	15	27	37	42	43	54
13	14	24	31	36	45	59
05	21	28	32	44	45	49
02	17	23	45	48	49	52
13	17	25	32	38	44	45
05	11	14	33	38	45	56
16	22	23	31	41	44	47
09	21	30	35	37	42	50
