06	17	19	24	37	40	52
02	03	05	28	32	39	40
03	04	08	20	33	45	46
06	12	14	23	51	55	56
07	10	15	18	54	56	57
02	21	26	30	34	51	59
04	08	19	23	37	38	40
01	07	14	22	42	53	56
08	14	15	17	41	44	56
13	16	19	27	36	40	54
10	19	26	27	33	38	58
01	04	14	30	39	47	58
08	14	26	27	41	49	54
01	24	28	29	36	39	40
05	20	28	29	38	43	46
13	25	28	31	57	58	60
18	19	24	36	37	53	57
05	11	21	32	54	57	60
10	16	25	41	49	55	58
07	14	22	33	41	47	56
05	06	14	42	43	47	55
03	04	19	36	41	45	46
01	17	20	32	45	54	55
01	19	22	36	51	53	60
12	13	27	34	41	48	57
17	26	28	39	43	45	58
01	25	28	40	44	45	53
03	04	21	40	51	52	59
15	18	23	38	39	41	52
04	22	29	33	47	52	55
11	25	26	30	49	52	60
03	22	28	29	37	40	50
02	10	25	30	39	43	58
04	21	26	27	36	58	59
02	09	19	28	36	43	50
06	11	19	26	38	53	60
05	06	15	29	36	46	56
06	11	18	24	37	48	55
02	08	15	29	41	48	56
01	09	16	26	32	50	53
07	08	15	20	32	53	60
14	15	23	45	47	58	60
04	07	11	37	45	46	48
01	03	22	34	37	48	51
09	11	28	31	32	34	55
15	20	27	41	50	52	59
01	07	30	46	55	59	60
11	15	28	35	36	40	47
02	03	30	35	40	49	57
12	15	29	48	50	51	59
07	10	27	37	46	56	57
13	22	29	38	40	43	47
02	08	13	29	41	48	50
02	11	22	23	54	57	60
05	06	12	18	31	48	53
09	11	28	30	35	50	56
17	20	28	29	31	52	60
03	10	18	30	34	37	55
01	04	08	12	51	57	60
04	12	17	29	40	45	52
01	05	22	29	52	54	56
04	07	08	27	46	51	52
18	22	23	28	31	37	56
13	20	24	32	37	47	59
04	22	29	33	35	58	59
03	04	10	35	55	56	59
07	20	28	44	45	47	51
07	10	21	31	33	34	52
09	28	30	31	35	49	56
10	13	27	38	39	43	56
13	25	30	43	44	47	52
07	11	25	36	42	45	54
13	27	29	38	48	51	60
04	11	22	31	53	57	58
